patient,TP53,BRCA1
TCGA-AC-A6IX,5.1081,1.6785
TCGA-A2-A04Y,4.851,1.9675
TCGA-E2-A156,6.24,3.4075
TCGA-AR-A24R,5.8987,3.2915
TCGA-D8-A1JP,5.2664,3.3814
TCGA-E2-A1IK,5.2126,1.8201
TCGA-AN-A0FS,5.1285,2.4465
TCGA-AC-A3TM,5.5723,1.6466
TCGA-C8-A12K,5.8711,3.1045
TCGA-AR-A2LE,4.3903,2.1444
TCGA-BH-A0HK,4.402,1.3454
TCGA-AR-A250,5.3906,3.4739
TCGA-D8-A1JG,3.9374,2.561
TCGA-C8-A134,6.0499,-0.1504
TCGA-AN-A0FX,6.3381,1.4704
TCGA-AC-A62V,4.3611,2.1147
TCGA-GM-A3XN,5.6775,1.412
TCGA-C8-A275,5.3681,2.3423
TCGA-AO-A129,6.6352,0.6239
TCGA-BH-A1F8,5.6944,3.7039
TCGA-D8-A1JK,3.5971,2.7826
TCGA-A8-A08X,5.6582,2.3564
TCGA-AR-A2LN,5.438,1.884
TCGA-A8-A09A,4.9547,2.8916
TCGA-E2-A1IJ,5.1579,2.1247
TCGA-A8-A08O,5.4941,3.6184
TCGA-A2-A4RY,5.8468,1.5612
TCGA-A2-A0SY,5.0691,1.7403
TCGA-AC-A8OP,5.1772,2.0673
TCGA-EW-A1PA,4.2457,2.2268
TCGA-AO-A126,4.7929,1.0915
TCGA-AO-A0J6,2.8897,3.7116
TCGA-EW-A6SB,5.2891,0.7058
TCGA-EW-A2FV,5.8192,1.9822
TCGA-AO-A03R,4.5286,1.8683
TCGA-E9-A54X,4.3827,2.0673
TCGA-AO-A0JB,2.7931,-2.6349
TCGA-AC-A3W5,4.0144,2.0218
TCGA-A7-A13G,4.1922755681,2.2579171186
TCGA-AR-A1AS,5.6846,3.3911
TCGA-C8-A1HJ,2.9857,2.4985
TCGA-D8-A1Y1,5.7637,3.6566
TCGA-BH-A0DD,4.7971,4.5964
TCGA-A2-A0EN,5.1555,1.5115
TCGA-E9-A1R2,5.4829,3.417
TCGA-A8-A08L,3.7646,3.3278
TCGA-A7-A3RF,5.4542,1.4962
TCGA-A2-A0D4,5.0135,4.0091
TCGA-EW-A1IW,5.3434,4.2669
TCGA-AO-A03M,3.9691,2.4008
TCGA-B6-A0IQ,3.7971,2.4412
TCGA-BH-A1EW,5.7769,3.7539
TCGA-BH-A1FG,4.404,1.816
TCGA-AR-A0TS,4.6154,1.692
TCGA-A2-A0CM,6.603,2.9243
TCGA-A8-A06X,4.7709,2.4008
TCGA-D8-A140,5.857,2.5061
TCGA-E9-A1R6,5.6002,3.8719
TCGA-A2-A0CZ,5.6306,0.6969
TCGA-BH-A1FE,5.6893,4.0662
TCGA-AN-A0XS,5.7055,2.3981
TCGA-A2-A04Q,3.945,1.8323
TCGA-WT-AB41,5.0295,0.7999
TCGA-BH-A0BV,6.1328,3.3105
TCGA-AC-A5XS,5.8148,1.7912
TCGA-E2-A109,6.0596,3.906
TCGA-B6-A1KF,4.4297,2.5511
TCGA-BH-A1FL,6.4622,3.4868
TCGA-E9-A1NI,5.7727,2.9032
TCGA-A8-A07R,6.0119,3.2841
TCGA-AN-A03Y,5.8105,2.7117
TCGA-BH-A0C1,6.2122,2.7095
TCGA-BH-A1FH,5.3841,1.3956
TCGA-E2-A572,3.8983,0.3685
TCGA-A8-A08H,4.9486,2.7139
TCGA-JL-A3YW,4.0375,2.496
TCGA-AN-A0XN,5.9876,1.884
TCGA-A1-A0SK,7.4459,4.3299
TCGA-AO-A125,5.4489,1.766
TCGA-PE-A5DC,5.0696,2.8178
TCGA-E9-A3X8,4.096,0.0854
TCGA-BH-A0AU,5.067,3.6669
TCGA-GM-A2DB,2.8877,1.2455
TCGA-E9-A244,6.3085,0.6425
TCGA-A8-A0AB,6.2491,4.3024
TCGA-A2-A3XV,3.6994,1.7828
TCGA-AN-A04A,5.5571,1.3167
TCGA-E2-A14O,4.8172,2.8158
TCGA-A2-A0T7,6.0989,2.9765
TCGA-A7-A0D9,4.5663,2.2144
TCGA-GM-A3XL,6.2248,-1.0262
TCGA-AO-A0JJ,5.0955,2.8076
TCGA-A2-A0CV,5.2111,0.8488
TCGA-AN-A046,4.8415,1.4962
TCGA-D8-A1X6,5.4702,3.6077
TCGA-EW-A3U0,4.6972,2.3135
TCGA-AO-A0JF,5.2604,2.0878
TCGA-A2-A0T0,6.0803,2.824
TCGA-BH-A0EA,5.9454,1.595
TCGA-D8-A147,6.8948,4.3772
TCGA-E9-A54Y,4.4054,2.59
TCGA-LL-A5YN,5.2969,0.6969
TCGA-C8-A26Y,5.9752,3.7825
TCGA-AN-A0FJ,2.1411,2.4198
TCGA-BH-A1EV,5.0365,3.3321
TCGA-AO-A03V,5.6191,1.4494
TCGA-B6-A0IK,6.2356,3.011
TCGA-E2-A15E,5.8839,2.6715
TCGA-E2-A15D,6.1457,2.5137
TCGA-E9-A1RB,6.0059,3.7138
TCGA-AO-A1KR,5.7328,1.3454
TCGA-BH-A18H,3.6669,1.5064
TCGA-BH-A0HF,5.1664,1.8404
TCGA-C8-A12M,6.4036,2.4386
TCGA-C8-A26V,4.9026,2.4279
TCGA-B6-A1KN,6.105,2.8055
TCGA-A7-A4SA,5.1144,0.3115
TCGA-E2-A15S,4.9631,4.3256
TCGA-E9-A1RI,5.2653,3.2112
TCGA-GM-A2DI,4.443,2.6395
TCGA-A8-A09T,5.7851,3.0252
TCGA-D8-A27T,5.3165,2.4008
TCGA-C8-A278,5.465,1.9377
TCGA-A8-A09C,6.0849,1.8564
TCGA-BH-A18L,4.6047,4.327
TCGA-GM-A2DK,4.7651,1.8722
TCGA-E9-A22A,5.6639,1.4065
TCGA-AC-A3YJ,5.2438,0.9419
TCGA-AR-A2LO,6.2891,3.6089
TCGA-AC-A23C,3.6428,2.1378
TCGA-D8-A1XM,5.3002,3.5374
TCGA-BH-A1EU,5.6276,2.2901
TCGA-PE-A5DD,5.288,1.3454
TCGA-WT-AB44,4.9621,-1.3183
TCGA-C8-A8HR,4.7783,2.7847
TCGA-A2-A0YG,4.2526,3.7971
TCGA-A8-A09G,5.558,4.9946
TCGA-EW-A6SA,6.0991,2.8916
TCGA-AC-A8OQ,3.7815,3.2313
TCGA-A1-A0SO,7.0388,4.717
TCGA-E2-A10B,5.9227,2.8701
TCGA-D8-A1XA,3.1765,3.3605
TCGA-AO-A1KQ,5.085,3.9938
TCGA-A8-A0A6,4.5988,1.9034
TCGA-AQ-A04J,6.2711,0.2998
TCGA-BH-A0W4,5.5614,2.826
TCGA-D8-A1X5,5.4845,2.4934
TCGA-GM-A3XG,5.3685,0.7748
TCGA-A2-A4RW,5.4483,1.5165
TCGA-D8-A1XV,4.9313,2.7139
TCGA-D8-A13Y,3.8954,-1.4699
TCGA-AR-A0TU,6.8164,-0.6643
TCGA-BH-A0B0,5.4152,1.0433
TCGA-E2-A15P,5.7453,3.3993
TCGA-D8-A1JN,4.6253,0.099
TCGA-BH-A0B8,5.7509,2.9071
TCGA-E9-A1RD,5.5874,2.8955
TCGA-AC-A2FG,5.76,2.1766
TCGA-A2-A0ET,6.2847,3.6972
TCGA-E2-A15R,5.1482,4.2795
TCGA-A2-A3KD,4.865,2.4675
TCGA-E9-A1NG,5.7326,2.6067
TCGA-AC-A6NO,6.1971,3.4424
TCGA-A8-A08J,4.8929,2.5388
TCGA-A2-A0CO,4.8022,1.1897
TCGA-AN-A0FZ,5.0148,2.7972
TCGA-A2-A0YD,6.0715,2.036
TCGA-EW-A1J2,5.3779,2.5852
TCGA-C8-A12N,6.0459,1.6281
TCGA-A2-A25F,5.151,3.0234
TCGA-A8-A0A1,5.5675,3.38
TCGA-D8-A27E,5.1065,1.8722
TCGA-EW-A1IZ,5.3438,2.0535
TCGA-B6-A0IB,5.5097,2.5112
TCGA-A8-A08Z,5.8235,2.7636
TCGA-AC-A3QQ,3.5060206348,2.3973824845
TCGA-E2-A15T,4.7645,4.2181
TCGA-BH-A0BC,5.496,1.5165
TCGA-AR-A0TV,5.168,3.8401
TCGA-E2-A154,6.3009,3.7215
TCGA-GM-A4E0,4.6018,0.9716
TCGA-AO-A124,2.8622,4.3841
TCGA-S3-A6ZF,4.9237,3.6382
TCGA-A8-A09D,6.097,1.3679
TCGA-AN-A0XO,4.9165,2.8502
TCGA-BH-A0DQ,5.6422,2.9784
TCGA-A2-A4S3,5.3342,4.7898
TCGA-A2-A0D1,3.417,1.7617
TCGA-AO-A0J3,5.1871,2.2693
