patient,TP53,BRCA1
TCGA-A2-A3XT,5.9894,2.6325
TCGA-AN-A04C,5.5445,3.8451
TCGA-A2-A0YT,5.865,3.1765
TCGA-BH-A1EO,5.8202,2.8402
TCGA-E2-A107,6.1871,4.0679
TCGA-A2-A04W,4.848,0.6332
TCGA-LD-A74U,5.1599,1.5165
TCGA-B6-A0I5,5.5094,0.434
TCGA-BH-A0RX,4.248,1.9786
TCGA-BH-A0DV,5.4206,1.6374
TCGA-GM-A2DO,5.1094,2.3164
TCGA-A2-A0T1,5.4286,2.5634
TCGA-BH-A1ET,5.6059,2.4117
TCGA-BH-A0EI,4.9045,2.9525
TCGA-E2-A15J,6.2134,2.6161
TCGA-A1-A0SQ,3.7888,3.0181
TCGA-AC-A2QJ,2.5011,0.5069
TCGA-A7-A26H,4.6821,3.5875
TCGA-E2-A1IL,5.7679,2.4571
TCGA-AN-A04D,5.6634,3.2781
TCGA-C8-A27B,7.0331,3.6382
TCGA-AN-A0AS,5.2939,1.1833
TCGA-D8-A4Z1,5.6916,1.8282
TCGA-A8-A06R,3.5461,1.5465
TCGA-AO-A1KP,6.586,2.6185
TCGA-E9-A1RC,6.102,3.6172
TCGA-A2-A04N,6.0726,2.296
TCGA-BH-A8FY,4.652,2.128
TCGA-A8-A09V,6.0607,3.4713
TCGA-GM-A3NY,5.5485,1.0983
TCGA-BH-A5J0,4.851,1.0847
TCGA-B6-A0I6,3.5875,-1.3183
TCGA-AO-A0JI,5.51,3.5362
TCGA-BH-A18I,5.9014,2.8301
TCGA-AO-A0JC,5.2223,2.3048
TCGA-A8-A09Z,5.9944,1.9149
TCGA-E9-A1RH,4.5814,3.6006
TCGA-GM-A2DH,4.6041,4.2212
TCGA-BH-A1ES,5.641,2.3788
TCGA-PL-A8LY,6.1369,2.0707
TCGA-OL-A5RW,2.5536,-2.7274
TCGA-BH-A18M,6.4295,3.0876
TCGA-E2-A14R,6.0409,-1.685
TCGA-A8-A09M,4.8793,2.8701
TCGA-A1-A0SN,5.8425,3.002
TCGA-BH-A18F,5.9201,3.3647
TCGA-AR-A2LM,5.3413,2.7314
TCGA-E2-A10C,5.1958,2.4035
TCGA-AR-A0TW,4.756,1.8078
TCGA-BH-A0W5,5.7385,2.362
TCGA-AR-A24K,3.1393,3.755
TCGA-BH-A0HY,5.126,2.2482
TCGA-A2-A0EU,6.109,3.3421
TCGA-D8-A1XW,5.5814,2.2872
TCGA-AN-A0FL,1.9073,-0.8863
TCGA-PL-A8LZ,6.3519,2.8622
TCGA-LL-A5YP,6.1918,2.5804
TCGA-AC-A2BK,6.4416,3.3633
TCGA-AC-A7VB,5.8846,4.287
TCGA-E2-A1IG,5.2134,3.6254
TCGA-AO-A0J2,6.1831,-1.5522
TCGA-BH-A28Q,6.1385,2.4857
TCGA-AC-A2FB,5.0717,3.4739
TCGA-C8-A12L,6.3509,1.6466
TCGA-3C-AALK,5.1073,1.3623
TCGA-E9-A1QZ,5.2238,3.7667
TCGA-AC-A5EH,5.5729,1.8078
TCGA-GM-A2D9,5.3893,0.4865
TCGA-LD-A66U,5.1069,1.0711
TCGA-AO-A1KO,5.6011,1.5563
TCGA-AR-A0TP,5.4489,-1.4305
TCGA-A8-A07I,5.2586,3.1294
TCGA-A2-A0EY,5.7714,2.7161
TCGA-LL-A442,4.1563,3.5299
TCGA-A8-A08I,5.4722,3.835
TCGA-A8-A091,5.1289,3.0723
TCGA-D8-A1XT,6.1849,2.8994
TCGA-BH-A0DG,6.415,1.5465
TCGA-AR-A2LL,4.958,4.0357
TCGA-4H-AAAK,5.44,2.8582
TCGA-3C-AALI,3.4464,2.9432
TCGA-A8-A08P,3.5337,3.4635
TCGA-D8-A1X8,5.537,3.1685
TCGA-BH-A0E1,5.3569,3.5584
TCGA-S3-A6ZG,6.5021,3.9552
TCGA-AO-A0J5,5.6789,1.7575
TCGA-A2-A0EM,5.9317,2.2931
TCGA-A8-A08T,6.3122,2.0776
TCGA-S3-AA12,5.3579,2.9243
TCGA-HN-A2NL,3.3966,3.034
TCGA-AO-A12A,6.3489,2.4008
TCGA-A2-A0YM,5.7626,2.376
TCGA-E2-A9RU,4.1946,1.9564
TCGA-C8-A130,3.5682,3.9185
TCGA-E2-A1B4,5.4081,0.6425
TCGA-LL-A73Z,5.0488,1.7141
TCGA-C8-A1HI,5.1891,1.7097
TCGA-LL-A6FR,4.9603,1.4281
TCGA-PL-A8LV,4.8161,2.8994
TCGA-A8-A07E,5.579,2.2813
TCGA-E9-A247,5.854,3.4517
TCGA-A2-A3XZ,5.0032,2.4857
TCGA-A8-A07F,6.6723,3.9561
TCGA-B6-A0RN,6.035,1.0293
TCGA-LD-A7W5,5.7447,1.4011
TCGA-BH-A0BL,6.3367,3.0481
TCGA-AN-A0XV,5.5681,2.496
TCGA-A7-A4SB,4.3646,2.3451
TCGA-AN-A0XU,5.1343,-0.2159
TCGA-A7-A6VV,4.7099,3.1028
TCGA-E2-A1LI,6.6968,3.1179
TCGA-B6-A0WS,5.5647,3.5473
TCGA-C8-A138,3.772,1.5165
TCGA-A7-A426,5.5823,1.0915
TCGA-A7-A56D,3.0393,-0.2845
TCGA-A8-A07B,2.7401,1.787
TCGA-A8-A086,5.4598,3.8391
TCGA-BH-A1FU,6.2664,2.0147
TCGA-B6-A0RI,5.2739,3.6335
TCGA-E2-A1B6,5.1819,1.9415
TCGA-E9-A1N4,5.7222,2.9356
TCGA-OL-A66O,4.8495,2.6067
TCGA-A7-A6VY,3.4661,-0.4921
TCGA-GM-A2DA,4.7093,0.605
TCGA-B6-A0I1,5.9535,2.5756
TCGA-D8-A141,6.1225,2.5313
TCGA-BH-A0H9,5.9846,3.0323
TCGA-BH-A18T,7.005,3.7888
TCGA-BH-A0BD,5.9201,3.4197
TCGA-OL-A5RU,5.0734,1.4704
TCGA-C8-A12T,3.4791,2.296
TCGA-A7-A0DA,6.0633,2.328
TCGA-A2-A25C,6.5977,4.1392
TCGA-E2-A14V,5.8625,3.4183
TCGA-BH-A0HP,4.9031,1.5415
TCGA-B6-A0I8,4.6815,2.4623
TCGA-E2-A1L7,6.3953,1.7316
TCGA-E9-A1N8,3.6894,3.5212
TCGA-A8-A085,5.0215,3.7699
TCGA-AR-A0U0,6.5902,3.6486
TCGA-A7-A0CE,6.2275,4.0549
TCGA-C8-A12Y,2.9581,1.787
TCGA-AC-A2BM,4.8012,3.4752
TCGA-BH-A0E0,5.7471,1.8918
TCGA-E2-A15G,6.0334,2.7357
TCGA-D8-A146,5.2943,1.9968
TCGA-C8-A12U,6.2451,2.6533
TCGA-B6-A0WT,5.8672,3.8013
TCGA-D8-A27M,4.1978,1.3846
TCGA-A8-A081,5.7088,4.7231
TCGA-AO-A03O,5.8773,3.2885
TCGA-E2-A15L,5.9653,3.7324
TCGA-E2-A15H,6.0027,2.3536
TCGA-A8-A093,5.0383,3.1278
TCGA-BH-A18S,4.182,2.8055
TCGA-AR-A1AO,5.1843,1.9895
TCGA-AC-A23G,5.7853,2.0742
TCGA-AR-A24Z,5.3292,4.096
TCGA-D8-A145,5.5015,2.5163
TCGA-BH-A42V,5.3078,1.5514
TCGA-D8-A1XB,6.1227,3.6872
TCGA-A2-A0YL,5.6963,2.5756
TCGA-A7-A5ZX,4.8385,1.2756
TCGA-EW-A1P7,5.3427,1.6512
TCGA-AR-A5QQ,2.8955,3.3206
TCGA-S3-AA15,3.9599,1.3791
TCGA-AR-A24M,5.5577,2.9507
TCGA-A2-A0EW,5.2906,1.884
TCGA-EW-A1J3,4.9915,3.325
TCGA-EW-A1P3,4.5904,2.5188
TCGA-BH-A1FD,5.9748,2.6487
TCGA-EW-A424,5.9002,1.8879
TCGA-E2-A2P5,6.0121,2.1862
TCGA-A2-A259,6.8975,1.1512
TCGA-E2-A1B1,5.3184,2.4701
TCGA-A7-A3J0,5.881,3.1844
TCGA-AR-A2LR,3.5498,3.47
TCGA-A2-A0ES,5.1796,2.0395
TCGA-EW-A1P8,6.9646,3.287
TCGA-AR-A0U4,6.4046,2.0111
TCGA-A8-A08C,6.4469,2.2603
TCGA-LL-A7T0,5.643,3.6136
TCGA-A7-A13D,2.4822110452,2.0545956655
TCGA-EW-A1OZ,4.3972,1.9073
TCGA-A2-A1FX,6.267,4.3371
TCGA-E2-A10F,5.6209,2.9167
TCGA-A7-A4SD,6.0164,2.7805
TCGA-E2-A1B5,5.2238,0.4233
TCGA-BH-A0DE,4.8334,2.7508
TCGA-AO-A0JM,5.5805,2.4063
TCGA-E2-A14P,5.7968,3.8441
TCGA-E9-A227,5.1144,2.1509
TCGA-AR-A2LH,5.5008,2.376
TCGA-A8-A07O,3.6006,3.8581
TCGA-A2-A0D3,6.6907,1.884
TCGA-AO-A0JA,5.7861,2.6556
TCGA-A2-A4S0,5.0383,2.5437
TCGA-B6-A0IE,3.5815,0.2998
TCGA-OL-A66J,5.3558,1.412
TCGA-D8-A1JI,4.5772,3.1971
TCGA-OL-A5RX,5.6862,1.4335
TCGA-EW-A1OY,2.6715,2.7615
TCGA-AR-A5QM,4.5167,2.2693
TCGA-A2-A0CQ,5.6369,1.8078
TCGA-BH-A0BA,5.3133,2.9747
TCGA-D8-A27F,3.9012,0.058
TCGA-C8-A26Z,4.9883,3.1876
TCGA-E2-A14S,4.3031,3.1604
TCGA-A8-A06O,5.0462,3.9506
TCGA-D8-A1JM,5.9796,3.1637
TCGA-C8-A1HO,5.3615,2.1313
TCGA-E9-A228,5.4273,4.1244
TCGA-E9-A1RA,5.8912,2.3843
TCGA-V7-A7HQ,4.9374,0.8726
TCGA-OL-A6VR,5.7369,2.1313
TCGA-AR-A1AW,5.7252,2.5388
TCGA-AR-A1AY,3.5875,3.8126
TCGA-BH-A0H6,5.738,1.8604
TCGA-EW-A1OV,5.1643,2.0912
TCGA-A2-A04U,2.3479,5.1635
TCGA-D8-A1JF,5.5999,2.1541
TCGA-OL-A6VQ,5.432,2.2237
TCGA-C8-A273,5.6189,2.4279
TCGA-C8-A132,5.4091,2.4359
TCGA-BH-A0EE,2.5487,1.9822
TCGA-B6-A0RQ,5.6439,1.8078
TCGA-D8-A27W,5.0072,3.833
TCGA-AR-A2LJ,4.8053,0.9862
TCGA-A8-A075,3.4958,2.5658
TCGA-A1-A0SD,5.2806,2.2603
TCGA-A2-A3Y0,3.9356,2.2901
TCGA-EW-A6SD,6.1206,2.236
TCGA-E2-A14W,5.2799,2.9032
TCGA-LQ-A4E4,5.6303,2.6805
TCGA-AR-A256,3.7017,3.0619
TCGA-A2-A0T3,3.7453,3.8621
TCGA-BH-A0HN,4.9519,1.1447
TCGA-A7-A26G,5.9706,2.3019
TCGA-AN-A0FV,5.8729,2.4597
TCGA-A7-A0CD,5.0536,4.2017
TCGA-BH-A208,4.4836,0.3907
TCGA-BH-A1F6,5.6147,2.4171
TCGA-AR-A1AU,5.0743,2.7784
TCGA-AR-A24X,6.5305,3.1426
TCGA-B6-A0IO,5.5305,2.5061
TCGA-E2-A1IE,5.3223,3.8421
TCGA-AN-A0AJ,3.6113,3.7846
TCGA-AO-A128,4.6702,3.6148
TCGA-AR-A24T,5.5976,2.8137
TCGA-A2-A0CT,4.6905,3.8857
TCGA-BH-A1F2,6.002,2.6828
TCGA-D8-A1J9,5.2258,2.328
TCGA-E2-A150,3.4517,2.753
TCGA-AR-A251,7.2935,4.1086
TCGA-BH-A0B1,4.9533,3.1876
TCGA-D8-A1JE,5.4145,3.3675
TCGA-A2-A0CP,5.7613,-0.1031
TCGA-C8-A274,5.769,3.1028
TCGA-BH-A5IZ,5.8568,3.506
TCGA-A8-A076,5.4199,2.3592
TCGA-B6-A40B,5.898,2.0076
TCGA-AR-A0U2,6.2987,5.1772
TCGA-B6-A0IH,5.4938,1.6875
TCGA-D8-A27K,6.1094,2.8482
TCGA-E9-A5FK,5.0943,-0.1993
TCGA-EW-A1PB,5.7908,-0.3022
TCGA-BH-A0E9,5.4903,2.5536
TCGA-A1-A0SE,5.2698,2.9432
TCGA-E9-A1NH,6.0104,1.5266
TCGA-EW-A2FW,5.6792,4.7066
TCGA-AO-A0JD,5.4499,2.7336
TCGA-A7-A3IY,4.506,1.3225
TCGA-AO-A0J8,6.0687,2.409
TCGA-A7-A3IZ,5.0532,3.4958
TCGA-A2-A1G0,5.1355,3.1145
TCGA-D8-A1XZ,3.5947,2.5413
TCGA-AR-A0TY,6.0168,2.6602
TCGA-A2-A0SW,4.6451,1.4388
TCGA-OL-A5DA,4.8954,2.0946
TCGA-A7-A5ZV,2.3308,2.3479
TCGA-LL-A50Y,4.8161,1.5758
TCGA-BH-A0BP,4.844,1.0711
TCGA-AR-A1AK,5.6955,3.4291
TCGA-E9-A22G,3.0323,2.5996
TCGA-AC-A2QH,5.3446522903,0.9463645942
TCGA-LL-A441,6.3782,2.4649
TCGA-A8-A0A2,4.5286,2.2082
TCGA-E2-A576,4.2366,2.3394
TCGA-B6-A1KC,5.168,3.2856
TCGA-OL-A66N,4.7512,0.5763
TCGA-A2-A1FV,4.402,3.0181
TCGA-C8-A1HM,6.5956,4.4588
TCGA-D8-A1JT,4.2818,3.1876
TCGA-A2-A04P,2.7205,-2.2447
TCGA-BH-A0GY,5.9748,1.816
TCGA-E2-A56Z,5.0488,2.5188
TCGA-A7-A13E,4.5552491414,2.3713881663
TCGA-E2-A1LS,4.3702,-0.4325
TCGA-A2-A0CX,5.3442,1.9111
TCGA-A8-A07S,5.8684,3.5035
TCGA-BH-A1FM,5.4446,2.4063
TCGA-A1-A0SM,4.8064,1.3567
TCGA-AQ-A04H,5.7682,3.8279
TCGA-LL-A6FP,5.0972,-0.013
TCGA-A2-A0T5,6.2655,2.5388
TCGA-A7-A4SF,5.7594,2.8502
TCGA-A2-A25B,5.6871,2.0878
TCGA-E2-A1IO,4.6112,2.561
TCGA-A2-A3XW,5.2204,1.0222
TCGA-A1-A0SI,5.7785,2.6579
TCGA-B6-A0RP,5.8548,2.0289
TCGA-AQ-A04L,4.4457,0.9862
TCGA-E2-A14N,3.2526,0.8647
TCGA-AN-A049,5.7522,3.0515
TCGA-A1-A0SB,6.8155,2.7805
TCGA-BH-A0GZ,5.9227,2.0673
TCGA-BH-A0DP,5.4407,2.5561
TCGA-AC-A2QI,5.2161,2.0946
TCGA-5L-AAT1,5.5463,1.334
TCGA-A8-A06N,4.6071,3.5498
TCGA-BH-A8G0,5.36,1.7009
TCGA-A2-A0T6,5.5574,2.2082
TCGA-AN-A0FF,5.6781,2.9071
TCGA-E2-A15I,5.4539,2.6693
TCGA-LL-A5YL,5.0803,1.884
TCGA-C8-A26X,4.5687,1.2696
TCGA-AN-A0FD,4.0019,1.2516
TCGA-AN-A0AK,6.6851,3.8461
TCGA-D8-A1JS,5.3657,0.9343
TCGA-AO-A1KS,3.0199,3.8571
TCGA-AR-A24U,3.9194,2.2051
TCGA-AR-A1AX,5.5913,2.7847
TCGA-BH-A0C3,4.3442,3.1011
TCGA-AC-A62Y,4.435,1.334
TCGA-D8-A1JD,4.9942,3.3076
TCGA-S3-AA0Z,7.2524,3.9478
TCGA-E9-A1N3,5.0747,2.8974
TCGA-A2-A0T2,5.322,0.5859
TCGA-BH-A0B5,6.1033,3.652
TCGA-LL-A9Q3,4.1595,0.7233
TCGA-BH-A18N,6.1745,3.1327
TCGA-D8-A27R,4.9117,3.5174
TCGA-AO-A0J9,5.3965,0.9115
TCGA-E9-A1N5,5.3452,2.9765
TCGA-BH-A209,5.8982,2.7292
TCGA-E2-A1AZ,6.391,3.8075
TCGA-AN-A0FK,6.5062,2.6984
TCGA-A2-A0YI,5.542,1.6045
TCGA-D8-A1XO,5.8273,3.0181
TCGA-D8-A27G,4.7608,2.3898
TCGA-AR-A0TT,6.1231,2.5536
TCGA-A8-A0A4,5.0095,3.417
TCGA-D8-A1X7,5.1169,3.1062
TCGA-AC-A3OD,2.3445410238,1.3966995078
TCGA-E2-A1LA,4.8002,2.8096
TCGA-A8-A095,6.4436,4.4013
TCGA-D8-A143,3.5124,4.3097
TCGA-A2-A0YE,2.6043,3.4609
TCGA-A2-A0D2,4.1053,0.7321
TCGA-AC-A3YI,5.4627,0.6332
TCGA-A8-A07Z,5.4948,2.909
TCGA-AN-A0FT,5.4774,0.605
TCGA-A2-A0YF,5.9479,3.6793
TCGA-BH-A0DS,4.6966,0.9789
TCGA-E9-A1R5,5.6702,2.9338
TCGA-E9-A243,4.7934,0.9038
TCGA-A2-A25D,4.3541,1.4174
TCGA-E2-A159,5.6491,3.5387
TCGA-A8-A0A7,4.6236,1.5115
TCGA-B6-A0X5,6.1733,4.4634
TCGA-B6-A0RE,4.391,2.1638
TCGA-A2-A0CY,5.1194,0.3231
TCGA-JL-A3YX,6.3882,3.0252
TCGA-AC-A3QP,4.9663,1.3051
TCGA-EW-A1PH,4.1652,3.0893
TCGA-BH-A0DH,5.114,2.5213
TCGA-E9-A22H,6.0717,4.0313
TCGA-D8-A3Z6,5.6812,1.8918
TCGA-E2-A155,4.9851,2.7051
TCGA-B6-A0X1,2.9128,4.6142
TCGA-PE-A5DE,5.093,2.1957
TCGA-A8-A07U,4.2631,2.5731
TCGA-A1-A0SP,3.1781,3.3605
TCGA-S3-A6ZH,4.9089,4.4667
TCGA-A2-A3XU,6.0317,2.0183
TCGA-A1-A0SH,5.0579,1.8323
TCGA-E2-A1LB,5.9026,1.7954
TCGA-BH-A0AV,6.7736,0.2881
TCGA-A2-A0D0,2.6962,2.6255
TCGA-A8-A08S,5.5454,3.1011
TCGA-EW-A2FR,5.7745,2.4035
TCGA-C8-A133,4.843,1.9601
TCGA-A2-A3XY,4.1368,2.3926
TCGA-EW-A3E8,4.7976,2.0673
TCGA-A2-A0SU,5.1879,2.3308
TCGA-C8-A1HE,5.5979,3.2143
TCGA-B6-A0RM,6.4023,3.242
TCGA-AQ-A0Y5,4.8495,1.5661
TCGA-5L-AAT0,5.2392,2.0878
TCGA-AR-A1AI,6.1835,3.4224
TCGA-D8-A3Z5,5.4226,1.683
TCGA-GM-A2DN,4.89,2.7227
TCGA-B6-A1KI,5.5078,2.3788
TCGA-BH-A0BO,5.3989,1.8643
TCGA-E2-A152,5.3064,2.1957
TCGA-A8-A06T,5.5832,3.309
TCGA-AC-A2FE,6.0732,2.3193
TCGA-LL-A6FQ,4.2781,0.7493
TCGA-E9-A248,3.5923,3.6054
TCGA-A7-A26I,4.5305305595,2.2995441109
TCGA-C8-A12Q,5.625,2.5876
TCGA-BH-A0HU,5.5227,3.5633
TCGA-AR-A24V,5.1293,3.4791
TCGA-B6-A0WX,7.2471,2.7487
TCGA-D8-A1Y2,4.7651,2.7161
TCGA-AN-A0AR,2.6895,1.412
TCGA-A8-A06P,6.0242,1.6327
TCGA-AC-A62X,5.9828,2.7508
TCGA-AC-A2FO,5.2865,2.3649
TCGA-B6-A3ZX,6.1418,2.496
TCGA-D8-A142,6.0579,2.93
TCGA-LD-A9QF,4.8238,2.9262
TCGA-BH-A0DX,5.5097,1.8242
TCGA-B6-A0RU,4.2001,2.9281
TCGA-EW-A1J6,4.7934,1.6374
TCGA-E9-A22B,5.3848,1.9895
TCGA-E2-A106,4.9964,2.6043
TCGA-A1-A0SF,5.3345,2.0535
TCGA-OL-A5RV,5.854,2.1574
TCGA-E2-A1BC,5.2724,1.6374
TCGA-BH-A0W7,5.5913,1.683
TCGA-E2-A15C,5.8179,2.2633
TCGA-AR-A0U3,3.4197,3.4291
TCGA-BH-A0HW,5.1123,3.944
TCGA-GM-A3NW,4.7986,1.7229
TCGA-D8-A1XU,5.1712,1.614
TCGA-BH-A0B3,6.2325,2.6783
TCGA-PL-A8LX,6.0179,1.9822
TCGA-B6-A0IN,4.0506,0.4233
TCGA-A2-A3KC,6.1924,3.3032
TCGA-BH-A0HX,5.7493,2.5288
TCGA-A8-A097,4.3421,3.8581
TCGA-E9-A22E,5.1144,0.605
TCGA-B6-A0IP,6.2935,2.9839
TCGA-A2-A04X,5.0674,1.7995
TCGA-E2-A1IU,5.23,2.9071
TCGA-AC-A3BB,5.4555,1.5514
TCGA-A8-A094,3.0463,1.9749
TCGA-C8-A12Z,5.8199,2.128
TCGA-D8-A1XF,5.1465,4.8012
TCGA-A8-A082,5.5069,4.4189
TCGA-AR-A1AL,5.7315,2.8779
TCGA-3C-AALJ,4.9463,1.787
TCGA-LL-A440,5.2146,2.2663
TCGA-AR-A2LK,6.0932,4.6479
TCGA-A8-A07G,4.0392,2.409
TCGA-AO-A12H,5.3937,1.177
TCGA-BH-A0DI,5.0018,1.5806
TCGA-BH-A0B7,3.9883,1.6093
TCGA-A2-A0EX,5.0704,1.177
TCGA-D8-A1XR,6.1363,3.4804
TCGA-AR-A0TQ,6.2748,3.7259
TCGA-BH-A18P,5.7594,3.2766
TCGA-E2-A15O,7.2651,3.9108
TCGA-AO-A12C,5.336,1.0915
TCGA-OL-A97C,5.1879,1.9712
TCGA-BH-A18G,5.7926,0.6608
TCGA-B6-A0IA,4.7044,1.6649
TCGA-A8-A090,4.6548,4.576
TCGA-5T-A9QA,6.0564,3.3842
TCGA-AN-A0XT,5.9846,1.934
TCGA-AO-A0J4,6.3351,0.2522
TCGA-A2-A0YK,5.6448,1.5165
TCGA-A8-A09K,5.2169,2.6067
